,,,read in data,explain r code,desc stats/ comment choice,estimate conf.interval,compare models,bootstrap,Lasso,logistic regression,Random forest,boosted tree/ tree,ridge,GAM,unsupervised,test/train split,OLS,histogram,sample variance,MSE,Improve model,find predictors,selection logic choice,KNN,LOOCV,create plot,backfitting,classification tree,evaluate model,bagging,regression tree,predict,variable importance measure,,,cross validation,smoothing splines
2025,1.a,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.b,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,1.c,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.d,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,1.e,,,,,,1,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,
,2.a,,1,1,1,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,
,2.b,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,2.c,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
,2.d,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.e,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1.a,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,1.b,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,1.c,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,1.d,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,1.e,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,2.a,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,2.b,,,1,,,1,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,
,2.c,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.d,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,2.e,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
,2.f,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,2.g,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,2.h,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.i,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,2.j,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
,2.k,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
,2.l,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1.a,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,1.b,,,1,1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,
,1.c,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
,1.d,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,1.f,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,1.g,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,1.h,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1.i,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,1.j,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,2.a,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,2.b,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,2.c,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.d,,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,1,,,1,,,,,
,2.e,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
,2.f,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2022,1.a,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,1.b,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.c,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.d,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
,1.e,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
,1.f,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,2.a,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.b,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.c,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,2.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.e,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
,2.f,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,
,2.g,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,
,2.h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021,1.a,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,1.b,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.c,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.d,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,1.e,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,2.a,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.b,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.c,,,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,
,2.d,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1
,2.e,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,
,3.a,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.b,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.c,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
,3.d,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
